Pressure (psi),Bg,Rs,Bo,Uo/Ug,Cumulative Oil Production (MMSTB),Cumulative Gas Production (MMscf),Producing GOR (scf/STB)
2000.0,0.0061,88.0,1.269,46.0,0.0,0.0,88.0
1850.0,0.0066,83.0,1.254,49.0,0.142,12.113,83.00217680510082
1700.0,0.0073,78.0,1.239,53.0,0.338,27.909,77.99511001293956
1550.0,0.0081,73.0,1.224,57.0,0.599,47.638,73.004416945532
1400.0,0.0091,68.0,1.209,62.0,0.93,73.732,84.64811271004734
1250.0,0.0103,63.0,1.194,67.0,1.298,108.471,104.08353884680517
1100.0,0.0119,58.0,1.189,72.0,1.71,161.087,151.42450167603164
950.0,0.014,53.0,1.164,77.5,1.978,215.384,254.46206575182293
800.0,0.017,48.0,1.149,84.0,2.2,286.31899999999996,384.1611090373076
650.0,0.021,43.0,1.134,91.5,2.361,359.74799999999993,530.0706354162154
500.0,0.028,38.0,1.119,100.0,2.498,441.52199999999993,660.6888953841236
350.0,0.041,32.0,1.1,111.0,2.624,532.348,781.9198228534352
200.0,0.073,24.0,1.075,125.0,2.756,638.983,833.6722673999419
100.0,0.148,16.0,1.052,145.0,2.871,730.8699999999999,757.9085342915818
14.4,1.15,0.0,1.0,188.0,3.132,874.9379999999999,346.31924087346545
